bigram,neg_count,pos_count,pos_perc,neg_perc
roll roll,-2,24,12.0,0.08333333333333333
salmon roll,-4,35,8.75,0.11428571428571428
salt caramel,-1,42,42.0,0.023809523809523808
salt pepper,-4,42,10.5,0.09523809523809523
sample drink,0,25,inf,0.0
sandwich get,-4,23,5.75,0.17391304347826086
sandwich good,-1,33,33.0,0.030303030303030304
sandwich shop,-5,26,5.2,0.19230769230769232
sashimi express,0,39,inf,0.0
satisfy craving,-2,28,14.0,0.07142857142857142
saturday afternoon,-1,30,30.0,0.03333333333333333
saw place,0,25,inf,0.0
say best,-2,31,15.5,0.06451612903225806
say good,-3,27,9.0,0.1111111111111111
say like,-3,21,7.0,0.14285714285714285
say place,-6,54,9.0,0.1111111111111111
say would,-5,29,5.8,0.1724137931034483
seat area,-1,34,34.0,0.029411764705882353
seat available,0,29,inf,0.0
seat inside,-2,40,20.0,0.05
seating area,-2,37,18.5,0.05405405405405406
seaweed salad,-3,40,13.333333333333334,0.075
second chance,-3,25,8.333333333333334,0.12
second time,-10,70,7.0,0.14285714285714285
see place,-1,39,39.0,0.02564102564102564
seem like,-12,126,10.5,0.09523809523809523
selection drink,-1,42,42.0,0.023809523809523808
serve delicious,0,39,inf,0.0
serve drink,-3,23,7.666666666666667,0.13043478260869565
serve flavor,-2,38,19.0,0.05263157894736842
serve good,-3,40,13.333333333333334,0.075
serve ice,-4,126,31.5,0.031746031746031744
serve taste,-2,26,13.0,0.07692307692307693
service also,-1,34,34.0,0.029411764705882353
service always,-2,46,23.0,0.043478260869565216
service excellent,0,33,inf,0.0
service fast,-5,78,15.6,0.0641025641025641
service friendly,0,81,inf,0.0
service good,-4,82,20.5,0.04878048780487805
service great,-3,126,42.0,0.023809523809523808
service nice,0,25,inf,0.0
service pretty,0,32,inf,0.0
service quick,-6,95,15.833333333333334,0.06315789473684211
service really,-1,41,41.0,0.024390243902439025
service super,-1,39,39.0,0.02564102564102564
service would,-1,24,24.0,0.041666666666666664
several time,-1,36,36.0,0.027777777777777776
shake drink,-3,34,11.333333333333334,0.08823529411764706
shave ice,-1,29,29.0,0.034482758620689655
shop chinatown,0,52,inf,0.0
shop nyc,-1,38,38.0,0.02631578947368421
shop small,-2,59,29.5,0.03389830508474576
short rib,-6,51,8.5,0.11764705882352941
shred chicken,-3,25,8.333333333333334,0.12
shredded chicken,-2,41,20.5,0.04878048780487805
shrimp tempura,-9,166,18.444444444444443,0.05421686746987952
signature brown,-1,35,35.0,0.02857142857142857
signature cream,-2,83,41.5,0.024096385542168676
signature drink,-7,54,7.714285714285714,0.12962962962962962
since first,-7,24,3.4285714285714284,0.2916666666666667
since open,-1,31,31.0,0.03225806451612903
sit eat,-2,27,13.5,0.07407407407407407
sit enjoy,0,31,inf,0.0
size drink,-2,27,13.5,0.07407407407407407
size small,0,32,inf,0.0
slightly sweet,-1,42,42.0,0.023809523809523808
small business,-2,26,13.0,0.07692307692307693
small cup,-2,29,14.5,0.06896551724137931
small cute,0,26,inf,0.0
small large,-3,62,20.666666666666668,0.04838709677419355
small one,0,28,inf,0.0
small place,-2,82,41.0,0.024390243902439025
small shop,-2,90,45.0,0.022222222222222223
small size,-6,70,11.666666666666666,0.08571428571428572
small space,0,44,inf,0.0
small store,-2,41,20.5,0.04878048780487805
small table,0,43,inf,0.0
social distancing,-3,28,9.333333333333334,0.10714285714285714
social medium,-4,44,11.0,0.09090909090909091
soft chewy,-4,151,37.75,0.026490066225165563
soft opening,-1,29,29.0,0.034482758620689655
soft serf,-2,49,24.5,0.04081632653061224
soft serve,-42,1297,30.88095238095238,0.03238242097147263
someone else,-5,26,5.2,0.19230769230769232
something different,-2,37,18.5,0.05405405405405406
something else,-7,48,6.857142857142857,0.14583333333333334
something like,-2,27,13.5,0.07407407407407407
something new,-1,49,49.0,0.02040816326530612
something sweet,0,30,inf,0.0
something would,-1,29,29.0,0.034482758620689655
somewhere else,-8,31,3.875,0.25806451612903225
sooo good,-3,46,15.333333333333334,0.06521739130434782
