id,alias,name,avg_rating,url,review_count,address,city,state,zip_code,latitude,longitude
WxNlqGSsj_2TCodkx9Sa4A,vivi-bubble-tea-new-york-6,ViVi Bubble Tea,4.0,https://www.yelp.com/biz/vivi-bubble-tea-new-york-6?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,658,49 Bayard St,New York,NY,10013,40.715099,-73.997535
FKjAriOhhGZJSlkqrk8zWg,i-milky-沐白-new-york-4,I’Milky 沐白,4.5,https://www.yelp.com/biz/i-milky-%E6%B2%90%E7%99%BD-new-york-4?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,310,992 6th Ave,New York,NY,10018,40.7513413,-73.9864468
AtUxlW7ltZb73ZXMwpkY_g,sashimi-express-new-york-2,Sashimi Express,4.5,https://www.yelp.com/biz/sashimi-express-new-york-2?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,356,226 E 78th St,New York,NY,10075,40.77310350151626,-73.95696452128081
SqVHETmH6bf3rPKmdftvvw,ten-rens-tea-time-new-york-2,Ten Ren's Tea Time,4.0,https://www.yelp.com/biz/ten-rens-tea-time-new-york-2?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,663,73 Mott St,New York,NY,10013,40.7163819,-73.9982683
7Dp291PAk4ufpk6iQJpwsw,mi-tea-new-york-4,Mi Tea,4.5,https://www.yelp.com/biz/mi-tea-new-york-4?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,146,101 MacDougal St,New York,NY,10012,40.72965,-74.00092
uqzVqsDfrsH2mWVGn_yOSQ,patea-new-york-6,PaTea,4.5,https://www.yelp.com/biz/patea-new-york-6?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,252,227 E 14th St,New York,NY,10003,40.73306,-73.98589
CPY7tIaJ8XaEEZ9n7xBvkw,banh-mi-place-brooklyn,Banh Mi Place,4.0,https://www.yelp.com/biz/banh-mi-place-brooklyn?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,300,824 Washington Ave,Brooklyn,NY,11238,40.6732865,-73.9631
cWjl9L5VaM8lfUrb0dCPcg,hanco-s-brooklyn,Hanco’s,4.0,https://www.yelp.com/biz/hanco-s-brooklyn?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,558,354 7th Ave,Brooklyn,NY,11215,40.666206583447085,-73.982383
DjKAV1M7HWGGyzsfqUrcFw,debutea-new-york,Debutea,4.0,https://www.yelp.com/biz/debutea-new-york?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,274,217 Thompson St,New York,NY,10012,40.729188,-73.9993244
wxlMX0tqhl8jK-FOt_1S-A,kung-fu-tea-new-york-31,Kung Fu Tea,4.0,https://www.yelp.com/biz/kung-fu-tea-new-york-31?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,408,73 Chrystie St,New York,NY,10002,40.717113,-73.994558
TL5bG4t5cw6NRp5UvI0dPw,cream-coffee-and-tea-shop-brooklyn-2,Cream Coffee & Tea Shop,4.5,https://www.yelp.com/biz/cream-coffee-and-tea-shop-brooklyn-2?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,188,7210 B 3rd Ave,Brooklyn,NY,11209,40.6332643,-74.0272763
z6tXIo_91n3GiBM-ySsgIQ,kung-fu-tea-new-york-35,Kung Fu Tea,4.5,https://www.yelp.com/biz/kung-fu-tea-new-york-35?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,258,28 St Marks Pl,New York,NY,10003,40.72885,-73.98857
-68EJ6yIbtfPUdWXwUnlEw,bread-and-joe-brooklyn-2,Bread & Joe,5.0,https://www.yelp.com/biz/bread-and-joe-brooklyn-2?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,108,618 4th Ave,Brooklyn,NY,11215,40.66485,-73.99383
jsJdz6pvyYZjtut9vkUwBw,yaya-tea-grand-new-york-2,Yaya Tea Grand,4.0,https://www.yelp.com/biz/yaya-tea-grand-new-york-2?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,300,206 Grand St,New York,NY,10013,40.7192268371582,-73.9962768554688
kqA8RynDfBI4J_BtGfnDXQ,smoove-ice-cream-new-york-2,Smoove Ice Cream,4.5,https://www.yelp.com/biz/smoove-ice-cream-new-york-2?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,125,279 Grand St,New York,NY,10002,40.717668,-73.992744
T-LIITEQxff_2hH1hA21bQ,kung-fu-tea-new-york-10,Kung Fu Tea,4.5,https://www.yelp.com/biz/kung-fu-tea-new-york-10?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,223,31 Waverly Pl,New York,NY,10003,40.730662,-73.995386833
za9mYaRVWkwKkQfjRgvU0g,taiwan-bear-house-new-york,Taiwan Bear House,4.0,https://www.yelp.com/biz/taiwan-bear-house-new-york?adjust_creative=U3LEAeelRDkwcg95qVfPWw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=U3LEAeelRDkwcg95qVfPWw,334,11 Pell St,New York,NY,10013,40.7147185237041,-73.9977966218067
